id_transaccion,fecha,producto,region,vendedor,unidades,precio_unitario,calificacion_cliente,estado,notas
1163,24/07/2023,PipelineETL,Manizales (Caldas),Laura Torres,32,-330.31,4,activo,
1033,06-05-2023,Dashboard,MEDELLIN,Pedro Martin,1,410.98,10,SI,
1015,2023/10/17,Dashboard,Bogotá DC,"Ruiz, Maria",60,647.49,4,Inactivo,Ref: NC-3599
1322,03-08-2024,API REST,barranquilla,Pedro Martin,79 unidades,286.58,2,Activo,
1057,17/07/2023,App Web,Medellin,Carlos Lopez,58,419.09,1.5,True,
1182,08-24-2023,Dashboard,Medellin,Maria Ruiz,50,788.54,1.0,Activo,
1076,2024/02/17,Reporte Automatico,Bogotá DC,Maria Ruiz,14,35005.0,N/A,False,
1119,04 de March de 2024,  Pipeline ETL  ,manizales,pedro.martin,48,337.17,7,Pendiente,
1267,01-19-2024,API REST,Medellin,carlos.lopez@empresa.com,25,"409,35",3.7,NO,
1126,01-27-2024,Dashboard,manizales,Pedro Martin,77uds,785.91,3.8,activo,Descuento del 19% aplicado
1258,"January 01, 2024",Reporte Automatico,Medellin,Ana Garcia,5300,$332,6,ACTIVO,
1039,"December 10, 2023",,,Maria Ruiz,77 unidades,227.38,,activo,Descuento del 25% aplicado
TRX-0232,2024-06-15,Dashboard,,Laura Torres,49,-783.38,1.7,Activo,Descuento del 30% aplicado
1055,07/09/2023,Dashboard,cali,Pedro Martin,2200,569.2,2.4,activo,Pago en transferencia
1137,fecha_invalida,  Reporte Automatico  ,Santiago de Cali,Ana Garcia,2,67.08,5,1,Ref: FC-7470
1199,26 de July de 2023,Dashboard,MEDELLIN,Pedro Martin,69,670.96 COP,N/A,activo,
1255,2023-11-18,PIPELINE ETL,bogota,maria.ruiz,N/A,218.3,2.2,,
1224,2023/12/04,Reporte Automatico,Manizales (Caldas),Maria Ruiz,-79,797.17,4.4,Activo,
1326,2023-09-15,['API REST'],CALI,Maria Ruiz,18,665.83,Excelente,ACTIVO,
1101,16/09/2023,Reporte Automatico,MANIZALES,Ana Garcia,67,536.06,3.2,Activo,Pago en tarjeta
1009,12/01/2024,DASHBOARD,Santiago de Cali,Ana Garcia,42 unidades,389.5,1,Activo,
1192,05-20-2024,['Reporte Automatico'],Santiago de Cali,,77,$529.48,1,Inactivo,
1072,03-05-2024,App Web,B/quilla,Pedro Martin,65,441.18,6,NO,
1285,"May 20, 2024",Dashboard,Bogota,Pedro Martin,,614.07,3.5,1,
1336,2024-04-06,App Web,Bogota,"Garcia, Ana",1,367.29 COP,2.1,SI,Pago en transferencia
1194,2023-08-22,-,CALI,Carlos Lopez,51uds,86.55 COP,1,ACTIVO,
1218,,  Pipeline ETL  ,Barranquilla,Pedro Martin,,127.06,3,Inactivo,
1168,2023/08/25,API REST,barranquilla,"Martin, Pedro",80,"618,33",1,Activo,
1148,07-14-2023,Dashboard,Bog,PEDRO MARTIN,76,188.75,3,Inactivo,
1126,01-27-2024,Dashboard,manizales,Pedro Martin,77uds,785.91,3.8,activo,Descuento del 19% aplicado
1025,2024-01-04,App Web,Santiago de Cali,Pedro Martin,47,331.78,1,Inactivo,
1108,2023-06-03,Dashboard,medellin,Ana Garcia,32,$770,4.1,Si,URGENTE - revisar
1042,2024-02-18,Pipeline ETL,Medellin,,3,50.64,3,,
1349,08/02/2024,Reporte Automatico,Barranquilla,Ana Garcia,45,135.17,3,Activo,
